Date;Time UTC;Latitude;Longitude;Depth;Depth Type;Magnitude Type;Magnitude;Region Name;Last Update;Eqid;
2018-10-20;11:33:35;34.66;46.17;9; ;ML;3.6;WESTERN IRAN;2018-10-20 11:46;719290;
2018-10-18;15:14:48;34.20;48.43;12;f;mb;4.5;WESTERN IRAN;2018-10-19 06:47;718920;
2018-10-17;03:16:56;34.43;45.53;10; ;mb;4.5;IRAN-IRAQ BORDER REGION;2018-10-17 07:01;718605;
2018-10-16;11:18:31;34.70;45.68;10;f;ML;3.6;IRAN-IRAQ BORDER REGION;2018-10-16 15:31;718477;
2018-10-13;19:20:54;34.48;45.80;10; ;ML;3.7;IRAN-IRAQ BORDER REGION;2018-10-13 19:30;718004;
2018-09-30;23:49:24;34.35;46.20;10;f;mb;4.5;WESTERN IRAN;2018-10-01 06:43;715716;
2018-09-27;22:04:42;34.59;46.20;10;f;ML;3.6;WESTERN IRAN;2018-09-28 06:39;715152;
2018-09-25;21:50:53;34.85;46.80;10;f;ML;3.5;WESTERN IRAN;2018-09-26 11:27;714780;
2018-09-20;12:57:44;34.61;46.24;12; ;ML;3.5;WESTERN IRAN;2018-09-20 13:07;713905;
2018-09-19;19:29:21;33.68;45.84;10;f;ML;4.5;IRAN-IRAQ BORDER REGION;2018-09-20 07:08;713803;
2018-09-19;12:41:05;33.64;49.05;10;f;ML;4.0;WESTERN IRAN;2018-09-19 14:11;713737;
2018-09-18;07:21:28;33.53;53.13;10; ;ML;4.0;CENTRAL IRAN;2018-09-18 07:35;713505;
2018-09-17;12:14:31;33.38;48.57;10; ;ML;3.7;WESTERN IRAN;2018-09-17 12:27;713337;
2018-09-16;15:03:45;35.45;45.59;2; ;ML;3.8;IRAN-IRAQ BORDER REGION;2018-09-16 20:27;713165;
2018-09-13;17:05:12;34.41;46.13;10;f;ML;4.1;WESTERN IRAN;2018-09-14 06:36;712686;
2018-09-12;05:02:27;35.92;53.26;8; ;ML;3.5;NORTHERN IRAN;2018-09-12 05:11;712417;
2018-09-10;10:56:56;34.50;45.98;8;f;ML;3.7;IRAN-IRAQ BORDER REGION;2018-09-10 14:42;712086;
2018-09-10;02:53:46;34.65;46.34;8; ;ML;3.5;WESTERN IRAN;2018-09-10 03:17;712015;
2018-09-09;23:53:54;34.37;45.77;10;f;mb;4.1;IRAN-IRAQ BORDER REGION;2018-09-10 07:04;712000;
2018-09-08;17:50:24;34.67;46.32;9; ;ML;3.6;WESTERN IRAN;2018-09-08 18:00;711780;
2018-09-05;20:30:51;34.71;46.24;2; ;ML;3.6;WESTERN IRAN;2018-09-06 06:43;711231;
2018-09-03;08:25:20;34.37;45.62;10;f;ML;3.8;IRAN-IRAQ BORDER REGION;2018-09-03 15:15;710819;
2018-09-02;22:26:45;34.60;46.31;2; ;ML;3.9;WESTERN IRAN;2018-09-03 06:44;710729;
2018-08-31;21:05:43;34.51;46.17;10;f;mb;4.9;WESTERN IRAN;2018-09-01 21:53;710327;
2018-08-30;01:10:03;34.69;46.37;10;f;ML;3.8;WESTERN IRAN;2018-08-30 06:38;709984;
2018-08-29;18:55:42;34.60;46.19;10; ;mb;4.1;WESTERN IRAN;2018-08-30 06:33;709925;
2018-08-29;05:34:36;34.52;46.39;10;f;mb;4.8;WESTERN IRAN;2018-08-29 07:05;709826;
2018-08-28;10:27:01;34.49;46.48;10;f;ML;3.7;WESTERN IRAN;2018-08-28 13:07;709668;
2018-08-27;20:24:08;34.61;46.37;10; ;ML;3.7;WESTERN IRAN;2018-08-28 06:24;709588;
2018-08-27;15:28:39;34.57;46.23;2; ;ML;3.7;WESTERN IRAN;2018-08-28 06:22;709535;
2018-08-27;05:16:52;34.61;46.24;9; ;ML;3.5;WESTERN IRAN;2018-08-27 05:26;709453;
2018-08-27;01:52:57;34.62;46.30;10;f;ML;3.5;WESTERN IRAN;2018-08-27 06:41;709438;
2018-08-26;18:44:46;34.62;46.26;10;f;ML;3.9;WESTERN IRAN;2018-08-27 06:36;709384;
2018-08-26;17:58:05;34.67;46.27;7; ;ML;3.6;WESTERN IRAN;2018-08-26 18:09;709380;
2018-08-26;17:38:42;34.60;46.29;10;f;ML;3.8;WESTERN IRAN;2018-08-26 18:59;709376;
2018-08-26;15:51:42;34.64;46.31;2; ;ML;3.7;WESTERN IRAN;2018-08-26 20:38;709345;
2018-08-26;12:33:29;34.62;46.18;8; ;ML;3.7;WESTERN IRAN;2018-08-26 12:58;709317;
2018-08-26;09:23:33;34.52;46.18;10; ;ML;4.0;WESTERN IRAN;2018-08-26 19:08;709288;
2018-08-26;08:41:53;34.57;46.25;2; ;ML;3.5;WESTERN IRAN;2018-08-26 19:10;709283;
2018-08-26;08:25:04;34.52;46.36;10;f;mb;4.1;WESTERN IRAN;2018-08-26 19:07;709280;
2018-08-26;06:17:16;34.60;46.34;2; ;ML;3.5;WESTERN IRAN;2018-08-26 19:12;709261;
